Review	Liked
Great headphones - price cant be beat.	5
Amazing customer service.	5
just a 69 year old guy who wears hearing aides who wanted a good and comfortable pair of wireless headphones to use with ...	5
Nicely packed. They are light have great sound	5
Excellent Value	5
Solid Performance + Feature Rich = Best in Class	5
Great Headphones-Great Price	5
Quiet down your open office	5
surprisingly good	5
WOW. I'm impressed!	5
Impressive!!	5
Comfortable, Great Noise Cancelling, Amazing Customer Service	5
I would like to say that the appearance and comfort of these ...	5
I'm very hard to satisfy when it comes to listening to music	5
Extremely Comfortable	5
Great Noise Suppression At A Very Low Price	5
Thumbs up	5
Comfortable with great battery life	5
DON'T BUY (because they'll break because of poor design and then you'll be as pissed as I am)	1
... life is more than acceptable and they are incredibly comfortable almost pillow like against your ears but the real ...	5
What a deal!	5
The best for peace and quiet! (Case is sold separately)	5
Great noise cancelling and decent music tones	5
Fake Review Ratings	1
Great customer service!	5
Treat Yourself, You Are Worth It ! ! !	5
Worth EVERY PENNY!!	5
Does Not Work	1
"ESCAPE THE NOISE"	5
Great pair of inexpensive headphones that provide noise cancellation and bluetooth call answering	5
Clunky and big but excellent sound quality for music or audiobooks. Bluetooth lasts forever!	5
Best Headphones I've Ever Purchased	5
Updated review - So happy I gave them another chance.	5
Good noise cancelling, good sound, great battery life, value for your money is OUTSTANDING!!!	5
Broke after 6 months	1
Cowin E7	5
Actually better than my Bose SoundLink II	5
I'm not a HIFI expert but so fat it works great. Battery last 7 hours	5
I finally figured out why these headphones kept "unpairing" from my Galaxy S8	5
Heaven	5
Loud static replaces ambient noise	1
Overall Very Satisfied	5
Poor quality construction	1
Great Headphones	5
wow. these are great.	5
Excels at canceling screechy noises like the broken A/C at work	5
Worked great for me	5
The Best Headphones I've ever used	5
These were good until they broke 6 months later	1
Awesome budget noise cancelling headphones	5
DO NOT BUY	3
Local Man's First Experience with Noise Canceling Headphones is Positive.	5
Great budget set of Noise Cancelling headphones	5
Required office equipment.	5
Great headphones for the price	5
Don't buy	1
Very easy to connect to her devices and for her that ...	5
Great headphone option for the price	4
WARNING: These do pose a risk to your hearing.	1
Great Noise Cancelling, Sound and Comfort	5
low hiss, head compression	3
Received a replacement	1
Ok as earphones, not so much for noise canceling	3
Not great - but not too horrible - ok .. honestly kind of just MEH...	2
Not for the large headed, still	4
The noise cancelling element is great and the bluetooth works very well	5
You'll never run out of music, these last for days	2
You get what you paid for and for me, it's some Excellent headphones!	5
College Student/Athlete	5
Tune-out your noisy neighbors.	5
After five uses N/C is gone but it wasn't great to begin with!	1
Not for use on a PC.	2
Very comfortable headsets!	5
Battery held up great. They were comfortable and did not hurt my ...	4
Perfect for travel	4
Great value	5
Everything works	5
FREAKING AWESOME N I LOVE Boom!!!	5
Broke within three months of purchase - literally fell apart.	1
Get to your quiet place.	5
My Firt Ones Must Have Been Defective	4
Good Noise Cancelling and Decent Sound for the Price	5
Great (Value) Headphones Overall with Phenomenal Customer Service.	5
Zone Out From the World	5
Good headset for the price segment	5
7,500 Reviews and no one mentions the battery?	1
Great deal	5
Some What Effective To reduce Some airplane Noise	1
Cheaply made, headphones I buy at CVS last longer.	1
Decently made, decent sound, terrible noise cancelling	3
Small issue with NC function, but otherwise great headphones!	4
Great Pair Of Headphones	5
Great sound for the price	5
Absolute junk. Do you have anything else because it's going to be better than that.	1
Perfect for the price point and usage	5
Cowin Wireless Bluetooth Head phones	5
They have been excellent in all phases	5
Low quality. Speaker came undone within 10 months. Haven't been contacted back for return	1
Worth every penny!	5
Will not buy this brand again	1
Mediocre functionality, but comfortable and decent audio	3
Excellent audio and build quality headphones for the money	4
Just Awesome	5
Balance of sound quality and price	5
Great headset for the price.	5
Convenient, good quality Bluetooth headphones	5
While the sound quality of these headphones is adequate, ...	3
I bought'em I like'em	5
Good for the Money!	5
They were almost great; Terrible Microphone -move on	1
These headphones cut out between speakers if you move your head at all	1
Garbage Reviews, Garbage Headphones -- I want my money back.	1
We are very pleased with the quality of these headphones	5
Worth every penny.  I may get a second pair for clean use.	5
Exceptional value! but not a durable build	4
Great sound, terrible mic	4
Wear them on the Plane! Perfectly cancels out everyone, gives you music	5
Junk	1
Poor sound quality	2
A MUST HAVE!	5
Not for Music Lovers/ Audiophiles/ Professionals	1
Phenomenal Headphones for the price!	5
Not for small heads, or active wear.	1
Upgrade to the E8 version and youll be happy you did!	5
Great until they broke...	1
updated review.	1
Sound Is not bad, NC is very good.	4
... canceling headphones to know if the E7 is much better or worse	5
Great for the price!	4
Comfortable, great sound but not with massage pad.	4
Honest Thoughts 	4
Got these twice, broke both times. This is a generous rating.	2
Would buy these again!	5
Very happy	4
Not bad, but not as great as I had hoped	3
Arrived broken (EDITED)	4
Great Headphones... for about a year.	4
The metallic parts came corroded and a terrible stench comes from the headphones	1
Things to consider	4
Good for the $$$	4
So far so good	5
I Can't Recommend These BUT I Do Recommend the Seller	2
Stop--look elsewhere for headphones	2
Noise canceling in a versatile and compact design.	5
Pleasantly surprised	4
alot of low battery beeping, pretty uncomfortable.	1
ZERO NOISE CANCELLATION! DO NOT BUY!!!!	1
Got a great update for you people...wow, this company  may be worth checking out, they are concerned about customer loyalty!!!!	4
Pretty Good, But . . . .	3
Reviews have a "value for the money" bias	4
Good headphones for the price	4
Love 'em, just what I needed	5
Issue Resolved ***	5
They dont actually do noise Isolation or active noise cancellation.	1
BEST investment EVER !!	5
perfect for my needs	5
They quit working after one month	1
updated review to Cowin E7	4
Not as what others reviewed	1
Almost too good	5
"It's all about dat BASS"	2
Decent sound for an excellent price	5
Update 3 months later.	5
Light and comfy but [UPDATE: both pairs arrived] broken.	2
Wow, justloving these E7's (updated after getting customer support)	4
AMAZING! Very, very, very (did I say very?) pleased!	5
Don't buy; especially don't buy the extended warranty	1
Bad build (didn't even last 6 months!), good battery life and sound, great comfort.	3
Keep the box for the return - BEEPING DEATH	1
Company customer service looks out for company not buyers	1
MEH	3
Static ticking in right ear - terrible sound from the mic, ANC is fantastic, battery subpar	1
Almost Perfect - Excellent For The Price!	5
These are something special for the price.	5
Nice headphones, although some bad design elements	4
Excellent sounding at any price point	5
For the Price, Its Very Decent	4
**UPDATED REVIEW - Amazing Customer Service.	5
A decent buy for the $, light on noise canceling	3
